Datum,brand,addresse,diesel
12.11.2022,Landi,"Rütimatt 2, 6218 Ettiswil",2.25
12.11.2022,Tamoil,"Surentalstrasse , 6210 Sursee",2.25
25.09.2022,Socar,"Willikonerstr. 66, 8618 Oetwil am See",2.25
13.03.2022,BP,"Rickenstrasse, 9630 Wattwil",2.25
01.11.2022,Coop Pronto,"Spundisstr. 11, 7000 Chur",2.25
28.10.2022,Tamoil Garage Montani SA,"Gemmistrasse 40, 3970 Salgesch",2.25
13.11.2022,Avia,"Moosbachstr. 9, 4911 Schwarzhäusern",2.25
13.03.2022,Agrola,"Steigstr. 8, 9220 Bischofszell",2.25
12.11.2022,Tamoil,"Luzernstr. 33, 6144 Zell LU",2.25
26.10.2022,Coop,"Solothurnstr. 132 , 2500 Biel/Bienne",2.25
13.11.2022,Shell,"Bleienbachstrasse 54, 4900 Langenthal",2.25
12.11.2022,Socar,"Moosgasse, 6210 Sursee",2.25
07.04.2022,Landi,"rte de Dizy 1, 1304 Cossonay-Ville",2.25
09.03.2022,Scall,"Hauptstr. 1, 5113 Holderbank AG",2.249
22.08.2022,Ruedi Rüssel,"Hendschikerstrasse 9, 5600 Lenzburg",2.24
26.10.2022,Mini Prix,"Route de Bienne 1, 2605 Sonceboz-Sombeval",2.24
06.04.2022,Coop,"Oltnerstrasse 127, 4663 Aarburg",2.24
28.10.2022,Coop Pronto,"Bernstrasse 30, 3175 Flamatt",2.24
13.11.2022,ABC Garage R. Schlegel,"Zugerstr. 30, 6403 Küssnacht am Rigi",2.24
10.05.2022,Schachengarage,"Looweg 2, 9463 Oberriet SG",2.24
06.04.2022,Migrol Service Olten,"Aarburgerstr. 115, 4600 Olten",2.24
23.10.2022,Avia,"Bergstr. 24 a, 6410 Goldau",2.24
20.04.2022,Migrol,"Langacker, 9230 Flawil",2.24
26.04.2022,Coop,"Wattstrasse 3, 9240 Uzwil",2.24
27.05.2022,Voegtlin-Meyer,"Bruggerstr. 28, 5413 Birmenstorf AG",2.24
27.05.2022,Stop+Go Garage Schneider,"Bruggerstr. 6, 5413 Birmenstorf AG",2.24
28.10.2022,Coop Pronto,"Furkastrasse, 3984 Fiesch",2.24
28.10.2022,Garage Gebrueder Wyden,"Fürgangen, 3997 Bellwald",2.24
24.10.2022,Bp Central Garage,"Hauptstr., 3860 Meiringen",2.24
06.11.2022,MACRO SWISS ENERGY AG,"Sedelstr. 7, 6020 Emmenbrücke",2.24
06.11.2022,Shell,"Prätigauerstrasse, 7302 Landquart",2.24
06.11.2022,Coop Pronto,"Dorfstrasse 171, 7220 Schiers",2.24
13.11.2022,Coop Pronto,"Zugerstrasse 40 , 6403 Küssnacht am Rigi",2.24
26.10.2022,Eni,"Baselstr. 22, 4202 Duggingen",2.24
24.10.2022,Socar,"Herrengasse 38, 6430 Schwyz",2.24
21.03.2022,Eni,"Via Cantonale, 6818 Melano",2.23
21.03.2022,giola,"Via Cantonale 59, 6818 Melano",2.23
21.03.2022,Eni,"Via Cantonale 10, 6818 Melano",2.23
26.10.2022,Merillat,"Rue Pierre-Pertuis 16, 2605 Sonceboz-Sombeval",2.23
26.10.2022,Shell,"Rue de Soleure 4, 2740 Moutier",2.23
12.11.2022,Coop,"Luzernstrasse 24b, 4950 Huttwil",2.23
13.11.2022,Garage Steinmann,"Luzernerstrasse 23, 6247 Schötz",2.23
22.07.2022,Migrol Tankstelle,"Hauptstr. 69, 2557 Studen BE",2.23
14.07.2022,Eni,"Le Reymond 8, 2300 La Chaux-de-Fonds",2.23
14.07.2022,HK,"rue des Entrepôts 29 , 2300 La Chaux-de-Fonds",2.23
26.10.2022,Jubin,"rue des Gorges 18, 2740 Moutier",2.23
12.04.2022,Avia,"Seeburgstr. 1, 6000 Luzern",2.23
23.10.2022,Transit-Garage Müller AG,"Gotthardstr. 8 , 6410 Goldau",2.23
23.10.2022,Ruedi Rüssel,"Goldauerstr. 8, 6416 Steinerberg",2.23
04.09.2022,Gustoil,"Bernstrasse 7, 4923 Wynau",2.23
16.04.2022,Station service Piccand,"Rte de Drize 73, 1234 Vessy",2.23
21.03.2022,Socar,"via Carlo Maderno 56, 6825 Capolago",2.23
23.10.2022,Ruedi Rüssel,"Gotthardstr. 69, 6410 Goldau",2.23
11.10.2022,BP Thurau,"Raststätte Thurau, 9523 Züberwagen",2.23
14.11.2022,BP,"Staldenhof, 6000 Luzern",2.23
31.03.2022,Shell,"Oltenstr. 50, 4702 Oensingen",2.23
01.04.2022,Agip,"Solothurnerstr. 22, 4614 Hägendorf",2.23
03.11.2022,Oelteam AG,"Emmentalstr. 45, 3510 Konolfingen",2.23
03.11.2022,Oelteam AG,"Dättlig 10, 3507 Biglen",2.23
12.11.2022,Pneuhaus Gettnau,"Dorfstrasse, 6142 Gettnau",2.23
25.07.2022,Socar,"Sankt Jakobs-Strasse 70, 4132 Muttenz",2.23
26.10.2022,Coop,"Baslerstr. 5, 4102 Binningen",2.23
30.08.2022,LANDI Zola AG,"Kempttalstr., 8330 Pfäffikon ZH",2.23
16.10.2022,Angelini Hoch- und Tiefbau,"Serlas, 7525 S-chanf",2.23
13.11.2022,Migrol,"Luzernerstr. 51, 6247 Schötz",2.23
26.10.2022,AD Garage Mühle,"G.-F. Heilmann-Str.  16, 2500 Biel/Bienne",2.23
04.09.2022,Avia,"Bernstr. 13 , 4923 Wynau",2.23
16.10.2022,Migrol Service La Punt ,"Via Chantunela 4, 7522 La Punt-Chamues-ch",2.22
16.10.2022,Auto Pfister AG,"Cho d'Punt, 7503 Samedan",2.22
24.10.2022,Räuber Oel,"Grimselstrasse, 3862 Innertkirchen",2.22
22.08.2022,Ruedi Rüssel,"Seestr. 1375, 9322 Egnach",2.22
01.10.2022,Shell Kriens Mattenhof,"Nidfeldstrasse 10, 6010 Kriens",2.22
26.10.2022,Merillat,"Quartier de la Verrerie 67, 2740 Moutier",2.22
17.10.2022,Tamoil ,"Allmeindstr. 2, 8716 Schmerikon",2.22
26.10.2022,Avia,"Baselstr. 16, 4222 Zwingen",2.22
28.03.2022,Agrola,"Grosszelgstr., 5436 Würenlos",2.22
09.04.2022,Toggenburger,"Bleikenstr. 45, 9630 Wattwil",2.22
28.10.2022,Coop Pronto,"Route de la Gemmi, 3960 Sierre",2.22
28.10.2022,Garage Walpen Auto Center Ag,"Überhengertstrasse, 3983 Mörel",2.22
21.03.2022,Socar,"Via Franco Zorzi 4, 6850 Mendrisio",2.22
28.10.2022,Agrola,"Kantonsstr. 26, 3940 Steg VS",2.22
24.10.2022,Oeltrans AG,"Lammi, 3860 Schattenhalb",2.22
13.10.2022,BP,"Sandackerstr. 16, 9245 Oberbüren",2.22
18.10.2022,Eni,"Hauptstr., 8782 Rüti GL",2.22
24.10.2022,Socar,"Stapfen, 3862 Innertkirchen",2.22
17.10.2022,BP,"St. Dionys 9, 8645 Rapperswil-Jona",2.22
