Datum,brand,addresse,diesle,bleifrei,lat,lon
07.04.2022,Garage Autopac SA,"ch. des Fourches 1, 1305 Penthalaz",2.28,2.12,46.60466003417969,6.527034282684326
15.05.2022,Shell,"Feldhofstr. 2, 8610 Uster",2.275,2.125,47.35200119018555,8.722732543945312
23.05.2022,Denner,"rue de la Gare 2, 1373 Chavornay",2.27,2.14,46.70943832397461,6.570688724517822
04.07.2022,Benzin Discount,"Saanenstrasse, 3770 Zweisimmen",2.27,2.19,46.5536994934082,7.371317386627197
28.10.2022,Agrola,"Giessenstr. 4, 8717 Benken SG",2.27,1.87,47.18730545043945,8.994637489318848
28.10.2022,Shell,"Bernstrasse 50, 3175 Flamatt",2.27,1.88,46.89004135131836,7.323320388793945
28.10.2022,BP,"Bernstr. 6, 3175 Flamatt",2.27,1.88,46.88960647583008,7.311830520629883
06.11.2022,Avia,"Bundesplatz 2, 6003 Luzern",2.27,1.94,47.04568099975586,8.309366226196289
06.11.2022,Avia,"Tribschenstr. 19, 6005 Luzern",2.27,1.94,47.04365539550781,8.313488960266113
04.07.2022,Ruedi Rüssel,"Thunstr. 7, 3770 Zweisimmen",2.27,2.2,46.55513381958008,7.373162269592285
26.10.2022,Shell,"Reuchenettestr. 86, 2502 Biel/Bienne",2.27,1.88,47.15261459350586,7.261654853820801
06.11.2022,Avia,"Landenbergst. 35, 6000 Luzern",2.27,1.94,,
13.03.2022,Agrola,"Rickenstr. 68, 9630 Wattwil",2.27,2.11,47.29625701904297,9.086005210876465
26.10.2022,Tamoil,"Solothurnstr. 76 , 2500 Biel/Bienne",2.27,1.91,,
17.10.2022,BP Service San Murezzan,"Via San Gian 21, 7500 St. Moritz",2.26,1.95,46.4848518371582,9.834845542907715
28.10.2022,Migrol Service Altdorf GmbH,"Flüelerstrasse 154, 6460 Altdorf UR",2.26,1.87,46.89623260498047,8.626588821411133
22.07.2022,Migrol,"Haupstr. 145, 3212 Gurmels",2.26,2.11,,
26.10.2022,Shell,"Rue Auguste-Quiquerez 8, 2800 Delémont",2.26,1.88,,
04.07.2022,Coop Pronto,"Thunstrasse 18, 3770 Zweisimmen",2.26,2.21,46.55638885498047,7.375059604644775
27.06.2022,Daetwyler Swiss Tec AG,"Flugplatz, 3368 Bleienbach",2.26,2.15,47.18156433105469,7.742337226867676
07.11.2022,Valora SA,"rte de Prilly 2, 1023 Crissier",2.26,1.94,,
06.11.2022,Agrola,"Industriestr. 6, 6313 Menzingen",2.26,1.92,47.17286682128906,8.602009773254395
04.07.2022,Migrol,"Thunstrasse 16, 3770 Zweisimmen",2.26,2.21,46.555973052978516,7.374241352081299
25.09.2022,Eni,"Esslingerstr. 39, 8618 Oetwil am See",2.26,1.97,47.27510452270508,8.719038963317871
12.08.2022,Avia,"Hauptstrasse, 9514 Wuppenau",2.26,2.09,,
25.09.2022,Kreuzgarage,"Löwenstr. 1, 8133 Esslingen",2.26,1.98,47.288761138916016,8.71217155456543
04.04.2022,Simon,"ZI Moulin du Choc B, 1122 Romanel-sur-Morges",2.26,2.13,,
26.10.2022,Agrola,"Route de moutier 62, 2800 Delémont",2.26,1.88,47.3621940612793,7.360288143157959
23.10.2022,Migrol,"Aegeristr. 2 , 6417 Sattel",2.26,1.9,47.07954788208008,8.63076400756836
29.10.2022,Ruedi Rüssel,"Gersauerstrasse 82, 6440 Brunnen",2.26,1.87,47.000614166259766,8.57807731628418
12.11.2022,Agrola,"Bernstrasse, 6144 Zell LU",2.255,1.975,47.13560485839844,7.921581745147705
13.11.2022,Agrola TopShop,"Schürmatt 3, 6247 Schötz",2.255,1.975,47.183109283447266,7.981246471405029
06.11.2022,Autohaus Neuheim,"Edlibachstrasse 4, 6345 Neuheim",2.25,1.9,47.19951629638672,8.573651313781738
06.11.2022,Avia-Tankstelle,"Edlibachstrasse 40, 6345 Neuheim",2.25,1.89,47.195064544677734,8.571627616882324
